"FY 2018 Active Providers",""
"Selection Criteria",""
"Provider and Supplier Type(s):","Dually Certified SNF/NFs - Medicare and Medicaid, Distinct Part SNF/NFs - Medicare and Medicaid, Skilled Nursing Facilities (SNFs) - Medicare Only, Nursing Facilities - Medicaid Only"
"Year Type:","Fiscal Year"
"Year:","2018"
"Quarter:","Full Year"
"CCN","Provider Name","Address","City","State","Zip Code","County","Region","Phone Number","Provider Type","Original Participation Date","Termination Date","Number of Certified Beds","Hospital Based","Chain Name","Ownership Type"
"105868","METRO WEST NURSING AND REHAB CENTER","5900 WESTGATE DRIVE","ORLANDO","FL","32825","Orange","(IV) Atlanta","407 296-8164","SNF/NF (Dually Certified)","10/21/1994","","120","N","","For Profit"
"105870","LIFE CARE CENTER OF CITRUS COUNTY","3325 W JERWAYNE LN","LECANTO","FL","34461","Citrus","(IV) Atlanta","352 746-4434","SNF/NF (Dually Certified)","11/15/1994","","120","N","LIFE CARE CENTERS OF AMERICA","For Profit"
"105872","TUSKAWILLA NURSING AND REHAB CENTER","1024 WILLA SPRINGS DR","WINTER SPRINGS","FL","32708","Seminole","(IV) Atlanta","407 699-5506","SNF/NF (Dually Certified)","11/07/1994","","98","N","","For Profit"
"105873","NURSING CENTER AT MERCY, THE","3671 S MIAMI AVENUE","MIAMI","FL","33133","Miami-Dade","(IV) Atlanta","305 854-1110","SNF/NF (Dually Certified)","12/06/1994","06/07/2019","120","N","","For Profit"
"105875","COLONIAL SKILLED NURSING FACILITY LLC","2090 N CONGRESS AVE","WEST PALM BEACH","FL","33401","Palm Beach","(IV) Atlanta","561 686-5100","SNF/NF (Dually Certified)","01/26/1995","","30","N","","For Profit"
"105878","PINELLAS POINT NURSING AND REHAB CENTER","5601 31ST ST S","SAINT PETERSBURG","FL","33712","Pinellas","(IV) Atlanta","727 867-6955","SNF/NF (Dually Certified)","03/08/1995","","60","N","","For Profit"
"105879","WESTMINSTER WINTER PARK","1111 S LAKEMONT AVE","WINTER PARK","FL","32792","Orange","(IV) Atlanta","407 647-4083","SNF/NF (Dually Certified)","03/03/1995","","80","N","","Non-Profit"
"105881","HAWTHORNE CENTER FOR REHABILITATION AND HEALING OF","851 WEST LUMSDEN RD","BRANDON","FL","33511","Hillsborough","(IV) Atlanta","813 661-8998","SNF/NF (Distinct Part)","03/27/1995","","132","N","","For Profit"
"105882","WINKLER COURT","3250 WINKLER AVENUE EXTENSION","FORT MYERS","FL","33916","Lee","(IV) Atlanta","239 939-4993","SNF/NF (Dually Certified)","04/12/1995","","120","N","","Non-Profit"
"105884","EXCEL CARE CENTER","2811 CAMPUS HILL DR","TAMPA","FL","33612","Hillsborough","(IV) Atlanta","813 979-9400","SNF/NF (Distinct Part)","05/15/1995","","120","N","","For Profit"
"105885","VIERA HEALTHCARE AND REHABILITATION CENTER","8050 SPYGLASS HILL RD","VIERA","FL","32940","Brevard","(IV) Atlanta","321 752-1000","SNF/NF (Dually Certified)","05/30/1995","","114","N","","For Profit"
"105886","SAVANNAH COVE","1301 W MAITLAND BLVD","MAITLAND","FL","32751","Orange","(IV) Atlanta","407 645-3990","SNF/NF (Dually Certified)","06/16/1995","","39","N","","For Profit"
"105888","PLANTATION BAY REHABILITATION CENTER","4641 OLD CANOE CREEK ROAD","SAINT CLOUD","FL","34769","Osceola","(IV) Atlanta","407 892-7344","SNF/NF (Distinct Part)","07/20/1995","","120","N","CONSULATE HEALTH CARE INDEPENDENCE LIVING CENTERS NSPIRE HEALTHCARE RAYDIANT HEALTH CARE","For Profit"
"105890","BAYWOOD CARE CENTER","2000 17TH AVE S","SAINT PETERSBURG","FL","33712","Pinellas","(IV) Atlanta","727 821-3544","SNF/NF (Dually Certified)","08/01/1995","05/20/2020","59","N","","Non-Profit"
"105891","YBOR CITY CENTER FOR REHABILITATION AND HEALING","1709 TALIAFERRO AVE","TAMPA","FL","33602","Hillsborough","(IV) Atlanta","813 223-4623","SNF/NF (Dually Certified)","08/28/1995","","80","N","","For Profit"
"105892","LAKE PARK OF MADISON NURSING AND REHABILITATION CE","259 SW CAPTAIN BROWN RD","MADISON","FL","32340","Madison","(IV) Atlanta","850 973-8277","SNF/NF (Dually Certified)","08/25/1995","","120","N","","For Profit"
"105895","LIVING CENTER OF ST PETERSBURG","9393 PARK BLVD","SEMINOLE","FL","33777","Pinellas","(IV) Atlanta","727 391-2200","SNF/NF (Distinct Part)","11/03/1995","","120","N","CONSULATE HEALTH CARE INDEPENDENCE LIVING CENTERS NSPIRE HEALTHCARE RAYDIANT HEALTH CARE","For Profit"
"105901","WESTMINSTER WOODS ON JULINGTON CREEK","25 STATE ROAD 13","JACKSONVILLE","FL","32259","St. Johns","(IV) Atlanta","904 287-7300","SNF/NF (Dually Certified)","03/05/1996","","60","N","","Non-Profit"
"105903","AZURE SHORES REHAB","800 NW 95TH STREET","MIAMI","FL","33150","Miami-Dade","(IV) Atlanta","305 836-1550","SNF/NF (Distinct Part)","01/04/1996","","120","N","","For Profit"
"105904","ATLANTIC SHORES NURSING AND REHAB CENTER","4251 STACK BLVD","MELBOURNE","FL","32901","Brevard","(IV) Atlanta","321 953-2219","SNF/NF (Dually Certified)","01/31/1996","","120","N","","For Profit"
"105910","CORAL REEF SUBACUTE CARE CENTER LLC","9869 SW 152ND STREET","MIAMI","FL","33157","Miami-Dade","(IV) Atlanta","305 255-3220","SNF/NF (Dually Certified)","02/29/1996","","180","N","","For Profit"
"105911","PROMEDICA SKILLED NURSING AND REHABILITATION","2300 VILLAGE BLVD","WEST PALM BEACH","FL","33409","Palm Beach","(IV) Atlanta","561 478-1800","SNF/NF (Dually Certified)","04/02/1996","","120","N","HCR MANORCARE","For Profit"
"105912","FLORIDA HOSPITAL NORTH PINELLAS","1395 S PINELLAS AVE","TARPON SPRINGS","FL","34689","Pinellas","(IV) Atlanta","727 942-5000","Skilled Nursing Facility","06/10/1996","","32","Y","","Non-Profit"
"105915","SOLARIS HEALTHCARE DAYTONA","550 NATIONAL HEALTHCARE DRIVE","DAYTONA BEACH","FL","32114","Volusia","(IV) Atlanta","386 257-6362","SNF/NF (Distinct Part)","07/11/1996","","73","N","","Non-Profit"
"105917","RAYDIANT HEALTH CARE OF JACKSONVILLE","4101 SOUTHPOINT DRIVE EAST","JACKSONVILLE","FL","32216","Duval","(IV) Atlanta","904 296-6800","SNF/NF (Dually Certified)","08/09/1996","","116","N","CONSULATE HEALTH CARE INDEPENDENCE LIVING CENTERS NSPIRE HEALTHCARE RAYDIANT HEALTH CARE","For Profit"
"105919","WESTMINSTER COMMUNITIES OF BRADENTON WESTMINSTER","1700 21ST AVE W","BRADENTON","FL","34205","Manatee","(IV) Atlanta","941 748-4161","SNF/NF (Dually Certified)","04/02/1996","04/06/2023","59","N","","Non-Profit"
"105921","GARDENS COURT","3803 PGA BOULEVARD","PALM BEACH GARDENS","FL","33410","Palm Beach","(IV) Atlanta","561 626-1125","SNF/NF (Dually Certified)","08/13/1996","","120","N","LIFE CARE CENTERS OF AMERICA","For Profit"
"105924","BLOUNTSTOWN HEALTH AND REHABILITATION CENTER","16690 SW CHIPOLA RD","BLOUNTSTOWN","FL","32424","Calhoun","(IV) Atlanta","850 674-4311","SNF/NF (Dually Certified)","08/01/1996","","96","N","","For Profit"
"105926","WESTMINSTER SUNCOAST","1095 PINELLAS POINT DR S","SAINT PETERSBURG","FL","33705","Pinellas","(IV) Atlanta","727 867-1131","SNF/NF (Dually Certified)","08/23/1996","","120","N","","Non-Profit"
"105927","FOUNTAINS REHABILITATION AT MILL COVE","9960 ATRIUM WAY","JACKSONVILLE","FL","32225","Duval","(IV) Atlanta","904 724-4001","SNF/NF (Distinct Part)","09/13/1996","","84","N","","For Profit"
"105928","LIFE CARE CENTER OF ORANGE PARK","2145 KINGSLEY AVE","ORANGE PARK","FL","32073","Clay","(IV) Atlanta","904 272-2424","SNF/NF (Dually Certified)","09/19/1996","","180","N","LIFE CARE CENTERS OF AMERICA","For Profit"
"105930","VILLA HEALTHCARE & REHABILITATION CENTER","120 CHIPOLA AVE","DELAND","FL","32720","Volusia","(IV) Atlanta","386 738-3433","SNF/NF (Dually Certified)","09/27/1996","","120","N","","For Profit"
"105935","PENSACOLA NURSING & REHABILITATION CENTER","235 WEST AIRPORT BLVD","PENSACOLA","FL","32505","Escambia","(IV) Atlanta","850 857-5200","SNF/NF (Distinct Part)","01/08/1997","","120","N","","For Profit"
"105937","GOOD SAMARITAN SOCIETY-FLORIDA LUTHERAN","450 NORTH MCDONALD AVENUE","DELAND","FL","32724","Volusia","(IV) Atlanta","386 738-0212","SNF/NF (Dually Certified)","01/17/1997","","60","N","EVANGELICAL LUTHERAN GOOD SAMARITAN SOCIETY","For Profit"
"105939","PALMETTO SUBACUTE CARE CENTER","7600 SW 8TH STREET","MIAMI","FL","33144","Miami-Dade","(IV) Atlanta","305 261-2525","SNF/NF (Dually Certified)","01/24/1997","","95","N","","For Profit"
"105949","FLORIDA PRESBYTERIAN HOMES INC","909 LAKESIDE AVE","LAKELAND","FL","33803","Polk","(IV) Atlanta","863 688-5521","SNF/NF (Dually Certified)","04/03/1997","","68","N","","Non-Profit"
"105951","BRANDON HEALTH AND REHABILITATION CENTER","1465 OAKFIELD DR","BRANDON","FL","33511","Hillsborough","(IV) Atlanta","813 655-0404","SNF/NF (Distinct Part)","05/07/1997","","120","N","CONSULATE HEALTH CARE INDEPENDENCE LIVING CENTERS NSPIRE HEALTHCARE RAYDIANT HEALTH CARE","For Profit"
"105952","GRAND OAKS HEALTH AND REHABILITATION CENTER","3001 PALM COAST PARKWAY SE","PALM COAST","FL","32137","Flagler","(IV) Atlanta","386 446-6060","SNF/NF (Dually Certified)","05/16/1997","","120","N","CONSULATE HEALTH CARE INDEPENDENCE LIVING CENTERS NSPIRE HEALTHCARE RAYDIANT HEALTH CARE","For Profit"
"105955","ADVINIA CARE AT VENICE","950 PINEBROOK ROAD","VENICE","FL","34285","Sarasota","(IV) Atlanta","941 484-8801","SNF/NF (Dually Certified)","06/02/1997","","45","N","","For Profit"
"105959","KR AT COLLEGE HARBOR","4600 54TH AVE S","SAINT PETERSBURG","FL","33711","Pinellas","(IV) Atlanta","727 866-3124","SNF/NF (Distinct Part)","06/25/1997","","52","N","","For Profit"
"105960","SOLARIS HEALTHCARE WINDERMERE","4875 CASON COVE DRIVE","ORLANDO","FL","32811","Orange","(IV) Atlanta","407 420-2090","SNF/NF (Distinct Part)","06/18/1997","","120","N","","Non-Profit"
"105961","SHANDS JACKSONVILLE MEDICAL CENTER","580 W 8TH STREET","JACKSONVILLE","FL","32209","Duval","(IV) Atlanta","904 244-1812","SNF/NF (Dually Certified)","07/24/1997","","56","Y","","Non-Profit"
"105962","LIFE CARE CENTER AT WELLS CROSSING","355 CROSSING BLVD","ORANGE PARK","FL","32073","Clay","(IV) Atlanta","904 264-1950","SNF/NF (Dually Certified)","07/31/1997","","120","N","LIFE CARE CENTERS OF AMERICA","For Profit"
"105963","LAFAYETTE NURSING AND REHABILITATION CENTER","512 W MAIN ST","MAYO","FL","32066","Lafayette","(IV) Atlanta","386 294-3300","SNF/NF (Dually Certified)","07/15/1997","","60","N","","For Profit"
"105965","PROMEDICA SKILLED NURSING AND REHABILITATION (VENI","1450 EAST VENICE AVENUE","VENICE","FL","34292","Sarasota","(IV) Atlanta","941 486-8088","SNF/NF (Distinct Part)","06/05/1997","","129","N","HCR MANORCARE","Non-Profit"
"105966","LARSEN HEALTH CENTER","13880 SHELL POINT PLAZA","FORT MYERS","FL","33908","Lee","(IV) Atlanta","239 466-1111","SNF/NF (Dually Certified)","08/04/1997","","219","N","","Non-Profit"
"105967","LAKE BENNET CENTER FOR REHABILITATION & HEALING","1091 KELTON AVE","OCOEE","FL","34761","Orange","(IV) Atlanta","407 523-0300","SNF/NF (Distinct Part)","09/12/1997","","120","N","","For Profit"
"105968","VI AT LAKESIDE VILLAGE","2792 DONNELLY DRIVE","LANTANA","FL","33462","Palm Beach","(IV) Atlanta","561 963-2100","SNF/NF (Distinct Part)","09/23/1997","","60","N","","For Profit"
"105970","MARIANNA NURSING AND CARE CENTER","2600 FOREST GLEN TRAIL","MARIANNA","FL","32446","Jackson","(IV) Atlanta","850 526-2000","SNF/NF (Distinct Part)","08/27/1997","","120","N","","For Profit"
"105972","MARTIN NURSING AND REHABILITATION","6011 SE TOWER DR","STUART","FL","34997","Martin","(IV) Atlanta","772 223-8777","SNF/NF (Dually Certified)","10/16/1997","","120","N","","For Profit"
"105974","LIFE CARE CENTER OF ORLANDO","3211 ROUSE ROAD","ORLANDO","FL","32817","Orange","(IV) Atlanta","407 281-1070","SNF/NF (Dually Certified)","10/10/1997","","132","N","LIFE CARE CENTERS OF AMERICA","For Profit"
"105975","COMMUNITY HEALTH AND REHABILITATION CENTER","3611 TRANSMITTER ROAD","PANAMA CITY","FL","32404","Bay","(IV) Atlanta","850 588-4643","SNF/NF (Distinct Part)","12/17/1997","","120","N","","For Profit"
"105978","GULF SHORE CARE CENTER","6767 86TH AVE N","PINELLAS PARK","FL","33782","Pinellas","(IV) Atlanta","727 548-5566","SNF/NF (Distinct Part)","02/06/1998","","120","N","","For Profit"
"105979","SOLARIS HEALTHCARE COCONUT CREEK","4125 WEST SAMPLE RD","COCONUT CREEK","FL","33073","Broward","(IV) Atlanta","954 968-8333","SNF/NF (Dually Certified)","12/09/1997","","120","N","","Non-Profit"
"105980","LAKESIDE CENTER FOR REHABILITATION AND HEALING","11411 ARMSDALE ROAD","JACKSONVILLE","FL","32218","Duval","(IV) Atlanta","904 714-3793","SNF/NF (Dually Certified)","01/24/1998","","122","N","","For Profit"
"105982","PORT CHARLOTTE CENTER FOR NURSING & REHABILITATION","18480 COCHRAN BLVD","PORT CHARLOTTE","FL","33948","Charlotte","(IV) Atlanta","941 743-4700","SNF/NF (Distinct Part)","03/12/1998","","120","N","","For Profit"
"105983","SARASOTA CENTER FOR NURSING & REHABILITATION","4783 FRUITVILLE ROAD","SARASOTA","FL","34232","Sarasota","(IV) Atlanta","941 378-8000","SNF/NF (Distinct Part)","02/18/1998","","81","N","","For Profit"
"105985","PALMS REHABILITATION AND HEALTHCARE CENTER, THE","5405 BABCOCK ST NE","PALM BAY","FL","32905","Brevard","(IV) Atlanta","321 722-0660","SNF/NF (Distinct Part)","03/12/1998","","120","N","CONSULATE HEALTH CARE INDEPENDENCE LIVING CENTERS NSPIRE HEALTHCARE RAYDIANT HEALTH CARE","For Profit"
"105986","ADVENTHEALTH CARE CENTER ZEPHYRHILL NORTH","7350 DAIRY RD","ZEPHYRHILLS","FL","33540","Pasco","(IV) Atlanta","813 788-4300","SNF/NF (Dually Certified)","06/23/1998","","113","N","","Non-Profit"
"105987","HUNTERS CREEK NURSING AND REHAB CENTER","14155 TOWN LOOP BLVD","ORLANDO","FL","32837","Orange","(IV) Atlanta","407 541-2600","SNF/NF (Dually Certified)","05/29/1998","","116","N","","For Profit"
"105995","ADVINIACARE AT NAPLES","7801 AIRPORT PULLING ROAD N","NAPLES","FL","34109","Collier","(IV) Atlanta","239 566-8077","SNF/NF (Dually Certified)","06/16/1998","","40","N","","For Profit"
"105996","SPRING HILL HEALTH AND REHABILITATION CENTER","12170 CORTEZ BLVD","BROOKSVILLE","FL","34613","Hernando","(IV) Atlanta","352 597-5100","SNF/NF (Distinct Part)","10/07/1998","","120","N","CONSULATE HEALTH CARE INDEPENDENCE LIVING CENTERS NSPIRE HEALTHCARE RAYDIANT HEALTH CARE","For Profit"
"105998","WINTER HAVEN FL OPCO LLC","2701 LAKE ALFRED RD","WINTER HAVEN","FL","33881","Polk","(IV) Atlanta","863 298-5000","SNF/NF (Distinct Part)","10/02/1998","","120","N","","For Profit"
"105999","LIFE CARE CENTER OF OCALA","2800 SW 41ST ST","OCALA","FL","34474","Marion","(IV) Atlanta","352 873-7570","SNF/NF (Dually Certified)","02/05/1999","","120","N","LIFE CARE CENTERS OF AMERICA","For Profit"
"106000","EVANS HEALTH CARE","3735 EVANS AVE","FORT MYERS","FL","33901","Lee","(IV) Atlanta","239 277-3977","SNF/NF (Distinct Part)","12/14/1998","","120","N","CONSULATE HEALTH CARE INDEPENDENCE LIVING CENTERS NSPIRE HEALTHCARE RAYDIANT HEALTH CARE","For Profit"
"106002","WEDGEWOOD HEALTHCARE CENTER","1010 CARPENTERS WAY","LAKELAND","FL","33809","Polk","(IV) Atlanta","863 815-0488","SNF/NF (Distinct Part)","03/26/1999","","120","N","CONSULATE HEALTH CARE INDEPENDENCE LIVING CENTERS NSPIRE HEALTHCARE RAYDIANT HEALTH CARE","For Profit"
"106003","LADY LAKE SPECIALTY CARE CENTER","630 GRIFFIN AVENUE","LADY LAKE","FL","32159","Lake","(IV) Atlanta","352 750-6619","SNF/NF (Dually Certified)","03/30/1999","","145","N","","For Profit"
"106005","PROMEDICA SKILLED NURSING AND REHAB (DELRAY)","16200 S JOG ROAD","DELRAY BEACH","FL","33446","Palm Beach","(IV) Atlanta","561 638-0000","SNF/NF (Dually Certified)","02/19/1999","","120","N","HCR MANORCARE","Non-Profit"
"106006","BALDOMERO LOPEZ MEMORIAL VETERANS NURSING HOME","6919 PARKWAY BLVD","LAND O LAKES","FL","34639","Pasco","(IV) Atlanta","813 558-5000","SNF/NF (Dually Certified)","05/07/1999","","120","N","","Government"
"106007","FLORIDEAN NURSING AND REHABILITATION CENTER, THE","47 NW 32ND PLACE","MIAMI","FL","33125","Miami-Dade","(IV) Atlanta","305 649-2911","SNF/NF (Distinct Part)","04/27/1999","","90","N","CONSULATE HEALTH CARE INDEPENDENCE LIVING CENTERS NSPIRE HEALTHCARE RAYDIANT HEALTH CARE","For Profit"
"106008","OSPREY POINT NURSING CENTER","1104 NORTH MAIN STREET","BUSHNELL","FL","33513","Sumter","(IV) Atlanta","352 568-8777","SNF/NF (Distinct Part)","07/02/1999","","60","N","CONSULATE HEALTH CARE INDEPENDENCE LIVING CENTERS NSPIRE HEALTHCARE RAYDIANT HEALTH CARE","For Profit"
"106009","CROSS CITY NURSING AND REHABILITATION CENTER","583 NE 351 HWY","CROSS CITY","FL","32628","Dixie","(IV) Atlanta","352 498-2005","SNF/NF (Dually Certified)","07/01/1999","","60","N","","For Profit"
"106011","KISSIMMEE NURSING & REHABILITATION CENTER","2511 JOHN YOUNG PARKWAY NORTH","KISSIMMEE","FL","34741","Osceola","(IV) Atlanta","407 931-3336","SNF/NF (Distinct Part)","08/25/1999","","120","N","","For Profit"
"106012","LIFE CARE CENTER OF PORT SAINT LUCIE","3720 SE JENNINGS RD","PORT SAINT LUCIE","FL","34952","St. Lucie","(IV) Atlanta","772 398-8080","SNF/NF (Dually Certified)","09/09/1999","","123","N","LIFE CARE CENTERS OF AMERICA","For Profit"
"106013","CHATSWORTH AT PGA NATIONAL","347 HIATT DRIVE","PALM BEACH GARDENS","FL","33418","Palm Beach","(IV) Atlanta","561 227-3200","Skilled Nursing Facility","08/26/1999","","62","N","","For Profit"
"106015","ST. ANDREW POST-ACUTE REHABILITATION CENTER","16702 NORTH DALE MABRY HWY","TAMPA","FL","33618","Hillsborough","(IV) Atlanta","813 908-2333","SNF/NF (Dually Certified)","11/23/1999","","45","N","","For Profit"
"106017","BRADENTON HEALTH CARE","6305 CORTEZ RD W","BRADENTON","FL","34210","Manatee","(IV) Atlanta","941 761-3499","SNF/NF (Distinct Part)","12/09/1999","","105","N","CONSULATE HEALTH CARE INDEPENDENCE LIVING CENTERS NSPIRE HEALTHCARE RAYDIANT HEALTH CARE","For Profit"
"106018","GLADES HEALTH CARE CENTER","230 SOUTH BARFIELD HIGHWAY","PAHOKEE","FL","33476","Palm Beach","(IV) Atlanta","561 924-5561","SNF/NF (Dually Certified)","11/18/1999","","120","N","","Non-Profit"
"106019","LODGE AT CYPRESS COVE, THE","10500 CYPRESS COVE DR","FORT MYERS","FL","33908","Lee","(IV) Atlanta","239 415-5100","Skilled Nursing Facility","04/26/2000","","64","N","","Non-Profit"
"106020","PROMEDICA SKILLED NURSING AND REHABILITATION (FT. ","13881 EAGLE RIDGE DRIVE","FORT MYERS","FL","33912","Lee","(IV) Atlanta","239 561-7700","SNF/NF (Dually Certified)","04/07/2000","","120","N","HCR MANORCARE","Non-Profit"
"106021","PONCE HEALTH AND REHABILITATION CENTER","335 SW 12 AVENUE","MIAMI","FL","33130","Miami-Dade","(IV) Atlanta","305 545-6695","SNF/NF (Dually Certified)","04/21/2000","","147","N","","For Profit"
"106022","BROOKDALE PALMER RANCH SNF","5111 PALMER RANCH PARKWAY","SARASOTA","FL","34238","Sarasota","(IV) Atlanta","941 926-7733","SNF/NF (Distinct Part)","06/01/2000","","60","N","","For Profit"
"106024","ADVENTHEALTH CARE CENTER ORLANDO NORTH","730 COURTLAND STREET","ORLANDO","FL","32804","Orange","(IV) Atlanta","407 975-3800","SNF/NF (Dually Certified)","07/27/2000","","120","N","","Non-Profit"
"106025","LIFE CARE CENTER OF SARASOTA","8104 TUTTLE AVE","SARASOTA","FL","34243","Manatee","(IV) Atlanta","941 360-6411","SNF/NF (Dually Certified)","06/29/2000","","120","N","LIFE CARE CENTERS OF AMERICA","For Profit"
"106027","AVANTE AT ORLANDO INC","2000 NORTH SEMORAN BOULEVARD","ORLANDO","FL","32807","Orange","(IV) Atlanta","407 671-5400","SNF/NF (Dually Certified)","07/27/2000","","118","N","","For Profit"
"106028","SHOAL CREEK REHABILITATION CENTER","500 HOSPITAL DRIVE","CRESTVIEW","FL","32539","Okaloosa","(IV) Atlanta","850 689-3146","SNF/NF (Distinct Part)","04/27/2000","","120","N","CONSULATE HEALTH CARE INDEPENDENCE LIVING CENTERS NSPIRE HEALTHCARE RAYDIANT HEALTH CARE","For Profit"
"106029","LAKE MARY HEALTH AND REHABILITATION CENTER","710 NORTH SUN DRIVE","LAKE MARY","FL","32746","Seminole","(IV) Atlanta","407 805-3131","SNF/NF (Distinct Part)","11/08/2000","","120","N","CONSULATE HEALTH CARE INDEPENDENCE LIVING CENTERS NSPIRE HEALTHCARE RAYDIANT HEALTH CARE","For Profit"
"106030","WESTMINSTER POINT PLEASANT","1533 4TH AVE W","BRADENTON","FL","34205","Manatee","(IV) Atlanta","941 747-1881","SNF/NF (Distinct Part)","10/09/2000","","120","N","","Non-Profit"
"106031","VICTORIA NURSING & REHABILITATION CENTER, INC.","955 NW 3RD ST","MIAMI","FL","33128","Miami-Dade","(IV) Atlanta","305 548-4020","SNF/NF (Dually Certified)","11/13/2000","","314","N","","For Profit"
"106032","MAGNOLIA HEALTH AND REHABILITATION CENTER","1507 S TUTTLE AVE","SARASOTA","FL","34239","Sarasota","(IV) Atlanta","941 366-0336","SNF/NF (Distinct Part)","02/01/2001","","120","N","CONSULATE HEALTH CARE INDEPENDENCE LIVING CENTERS NSPIRE HEALTHCARE RAYDIANT HEALTH CARE","For Profit"
"106033","ST PETERSBURG NURSING & REHABILITATION","521 69TH AVE N","SAINT PETERSBURG","FL","33702","Pinellas","(IV) Atlanta","727 526-7000","SNF/NF (Dually Certified)","09/06/2000","","96","N","","For Profit"
"106034","JACKSON GARDENS HEALTH AND REHABILITATION CENTER","1861 NW 8TH AVENUE","MIAMI","FL","33136","Miami-Dade","(IV) Atlanta","305 347-3380","SNF/NF (Dually Certified)","01/26/2001","","120","N","","For Profit"
"106035","INN AT SARASOTA BAY CLUB","1303 NORTH TAMIAMI TRAIL","SARASOTA","FL","34236","Sarasota","(IV) Atlanta","941 953-6949","SNF/NF (Distinct Part)","06/20/2001","","44","N","","For Profit"
"106036","GROVE HEALTHCARE AND REHABILITATION CENTER AND REH","124 W NORVELL BRYANT HWY","HERNANDO","FL","34442","Citrus","(IV) Atlanta","352 249-3100","SNF/NF (Dually Certified)","07/12/2001","","120","N","","For Profit"
"106038","ALEXANDER SANDY NININGER STATE VETERANS NURSING","8401 W CYPRESS DR","PEMBROKE PINES","FL","33025","Broward","(IV) Atlanta","954 985-4824","SNF/NF (Dually Certified)","09/06/2001","","120","N","","Government"
"106040","WESTMINSTER ST AUGUSTINE","230 TOWERVIEW DRIVE","SAINT AUGUSTINE","FL","32092","St. Johns","(IV) Atlanta","904 940-4801","Skilled Nursing Facility","01/03/2002","","30","N","","Non-Profit"
"106041","HARBOURWOOD FL OPCO, LLC","549 SKY HARBOR DR","CLEARWATER","FL","33759","Pinellas","(IV) Atlanta","727 724-6800","SNF/NF (Dually Certified)","10/17/2001","","120","N","","For Profit"
"106042","FREEDOM SQUARE HEALTH CARE CENTER","10801 JOHNSON BLVD","SEMINOLE","FL","33772","Pinellas","(IV) Atlanta","727 398-0379","SNF/NF (Distinct Part)","02/19/2002","","116","N","","For Profit"
"106043","RIVERCHASE HEALTH AND REHABILITATION CENTER","1017 STRONG RD","QUINCY","FL","32351","Gadsden","(IV) Atlanta","850 875-3711","SNF/NF (Distinct Part)","05/07/2002","","120","N","SIMCHA HYMAN AND NAFTALI ZANZIPER","For Profit"
"106045","BRYNWOOD HEALTH AND REHABILITATION CENTER","1656 SOUTH JEFFERSON STREET","MONTICELLO","FL","32344","Jefferson","(IV) Atlanta","850 997-1800","SNF/NF (Dually Certified)","05/28/2002","","97","N","SIMCHA HYMAN AND NAFTALI ZANZIPER","For Profit"
"106046","TERRACE HEALTHCARE & REHABILITATION CENTER","7207 SW 24TH AVE","GAINESVILLE","FL","32608","Alachua","(IV) Atlanta","352 333-0600","SNF/NF (Distinct Part)","06/27/2002","","138","N","","For Profit"
"106047","LIFE CARE CENTER AT INVERRARY","4300 ROCK ISLAND ROAD","LAUDERHILL","FL","33319","Broward","(IV) Atlanta","954 485-6144","SNF/NF (Dually Certified)","01/30/2003","","120","N","LIFE CARE CENTERS OF AMERICA","For Profit"
"106048","PRUITTHEALTH - SANTA ROSA","5530 NORTHROP ROAD","MILTON","FL","32570","Santa Rosa","(IV) Atlanta","850 983-8888","SNF/NF (Dually Certified)","02/13/2003","","120","N","","For Profit"
"106049","LIFE CARE CENTER OF NEW PORT RICHEY","7400 TROUBLE CREEK ROAD","NEW PORT RICHEY","FL","34653","Pasco","(IV) Atlanta","727 375-2999","SNF/NF (Dually Certified)","02/11/2003","","113","N","LIFE CARE CENTERS OF AMERICA","For Profit"
"106050","LUTHERAN HAVEN NURSING HOME","1525 HAVEN DRIVE","OVIEDO","FL","32765","Seminole","(IV) Atlanta","407 365-3456","SNF/NF (Dually Certified)","02/11/2003","","56","N","","Non-Profit"
"106051","CORAL BAY AT PENSACOLA, LLC","600 W GREGORY ST","PENSACOLA","FL","32502","Escambia","(IV) Atlanta","850 437-3131","SNF/NF (Distinct Part)","04/11/2003","","210","N","","For Profit"
"106052","HAVEN OF OUR LADY OF PEACE","1900 SUMMIT BOULEVARD","PENSACOLA","FL","32503","Escambia","(IV) Atlanta","850 436-5900","SNF/NF (Dually Certified)","04/01/2003","","120","N","","Non-Profit"
"106053","SUNNYSIDE NURSING HOME","5201 BAHIA VISTA STREET","SARASOTA","FL","34232","Sarasota","(IV) Atlanta","941 371-2729","SNF/NF (Dually Certified)","07/14/2003","","60","N","","Non-Profit"
"106054","LAKESIDE NEUROLOGIC","1962 VANDOLAH RD","WAUCHULA","FL","33873","Hardee","(IV) Atlanta","863 773-2857","SNF/NF (Dually Certified)","07/16/2003","","25","N","","For Profit"
"106055","NORTHWEST FLORIDA COMMUNITY HOSPITAL (SNU)","1360 BRICKYARD RD","CHIPLEY","FL","32428","Washington","(IV) Atlanta","850 415-7400","Skilled Nursing Facility","03/06/2003","","34","Y","","For Profit"
"106056","CLIFFORD CHESTER SIMS STATE VETERANS NURSING HOME","4419 TRAM ROAD","PANAMA CITY","FL","32404","Bay","(IV) Atlanta","850 747-5401","SNF/NF (Dually Certified)","11/05/2003","","120","N","","Government"
